id;name;phone_number;contact_mail;logo;description;identification_code;type;location_id
1;LVMH;0144132222;contact@lvmh.fr;none;LVMH FRAGRANCES ET COSMETICS SINGAPORE PTE LTD, société étrangère non immatriculée au registre du commerce est en activité depuis 2 ans.;83417806300014;ENTERPRISE;1
2;L'Oréal;0972720123;contact@loreal-paris.fr;none;L'Oréal est un groupe industriel franéais de produits cosmétiques. ;63201210000012;ENTERPRISE;2
3;Total;0970808651;contact@total.fr;none;Total SA est une entreprise pétrolière et gaziére franéaise privée.;35125721700015;ENTERPRISE;3
4;Sanofi;0970808652;contact@sanofi.fr;none;Sanofi est une entreprise transnationale franéaise dont les activités incluent la pharmacie et les vaccins.;39503084400116;ENTERPRISE;4
5;Airbus Group;0970808653;contact@airbus.fr;none;Airbus est une coopération industrielle internationale présente dans le secteur aéronautique et spatial civil et militaire.;77572479200020;ENTERPRISE;5
6;Croix Rouge Française;0970808654;contact@croix-rouge.fr;none;La Croix-Rouge franéaise est une association d'aide humanitaire franéaise fondée en 1864.;W9C1000188;ASSOCIATION;6
7;Action contre la Faim;0970808655;contact@acf.fr;none;Intervenir pour sauver des vies, préserver et restaurer la sécurité alimentaire des populations.;W595004741;ASSOCIATION;7
8;Les Restos du coeur;0970808656;contact@restoducoeur.fr;none;Les Restaurants du coeur ou Les Relais du coeur, connus sous le nom de Les Restos du céur, sont une association loi de 1901 é but non lucratif.;W461000551;ASSOCIATION;8
9;AFM - Telethon;0970808657;contact@telethon.fr;none;En France, le Téléthon est un événement caritatif organisé depuis 1987 par l'Association franéaise.é;W212007979;ASSOCIATION;9
10;Fédération Française des Banques Alimentaires;0970808658;contact@https://www.banquealimentaire.org/.fr;none;Fédérer les Banques Alimentaires du territoire national en abrégé les BA (voir les statuts) au sein d'un réseau constituant une communauté d'intérét et de solidarité mutuelle au service des personnes démunies. ;W943000441;ASSOCIATION;10
